Time 	  T Cryostat 	 T Sample
1474498848.28	4.236	4.248
1474498878.56	4.236	4.249
1474498908.77	4.237	4.249
1474498939.01	4.235	4.249
1474498969.25	4.236	4.248
1474498999.5	4.236	4.249
1474499029.78	4.236	4.25
1474499060.02	4.235	4.249
1474499090.26	4.237	4.249
1474499120.52	4.236	4.249
1474499151.02	4.235	4.249
1474499181.34	4.236	4.249
1474499211.79	4.237	4.25
1474499242.22	4.236	4.249
1474499272.54	4.235	4.249
1474499303.01	4.235	4.249
1474499333.29	4.237	4.247
1474499363.61	4.235	4.25
1474499394.01	4.236	4.249
1474499424.26	4.236	4.249
1474499454.54	4.236	4.248
1474499484.83	4.236	4.249
1474499515.11	4.236	4.25
1474499545.5	4.236	4.248
1474499575.7	4.235	4.249
1474499606.0	4.236	4.25
1474499636.29	4.235	4.248
1474499666.61	4.235	4.248
1474499697.04	4.235	4.249
1474499727.31	4.235	4.25
1474499757.53	4.236	4.249
1474499787.74	4.237	4.249
1474499818.05	4.235	4.249
1474499848.28	4.236	4.249
1474499878.56	4.236	4.249
1474499909.05	4.236	4.249
1474499939.51	4.236	4.249
1474499969.78	4.235	4.248
1474500000.02	4.235	4.249
1474500030.3	4.237	4.249
1474500060.58	4.235	4.249
1474500090.88	4.235	4.249
1474500121.12	4.236	4.249
1474500151.38	4.236	4.248
1474500181.69	4.237	4.249
1474500211.99	4.236	4.25
1474500242.31	4.236	4.249
1474500272.59	4.238	4.248
1474500303.02	4.237	4.249
1474500333.24	4.235	4.249
1474500363.53	4.236	4.249
1474500393.79	4.236	4.25
1474500424.07	4.236	4.25
1474500454.3	4.236	4.249
1474500484.57	4.235	4.249
1474500514.8	4.235	4.248
1474500545.04	4.237	4.25
1474500575.33	4.236	4.249
1474500605.61	4.236	4.249
1474500635.86	4.236	4.249
1474500666.14	4.236	4.249
1474500696.57	4.236	4.25
1474500726.85	4.236	4.249
1474500757.11	4.235	4.249
1474500787.53	4.235	4.249
1474500817.82	4.236	4.248
1474500848.11	4.236	4.249
1474500878.4	4.237	4.249
1474500908.65	4.236	4.25
1474500938.9	4.235	4.249
1474500969.15	4.236	4.249
1474500999.4	4.235	4.249
1474501029.71	4.236	4.249
1474501060.02	4.235	4.249
1474501090.34	4.236	4.25
1474501120.62	4.236	4.249
1474501151.09	4.236	4.248
1474501181.37	4.235	4.249
1474501211.83	4.235	4.249
1474501242.33	4.237	4.248
1474501272.64	4.235	4.248
1474501302.91	4.236	4.249
1474501333.26	4.235	4.25
1474501363.59	4.235	4.249
1474501393.9	4.236	4.249
1474501424.16	4.236	4.249
1474501454.59	4.235	4.249
1474501484.9	4.235	4.248
1474501515.34	4.236	4.249
1474501545.66	4.237	4.249
1474501576.06	4.235	4.249
1474501606.29	4.236	4.249
1474501636.6	4.236	4.249
1474501666.83	4.235	4.25
1474501697.1	4.236	4.249
1474501727.38	4.236	4.25
1474501757.63	4.236	4.249
1474501787.93	4.235	4.249
1474501818.17	4.236	4.249
1474501848.44	4.236	4.249
1474501878.65	4.237	4.249
1474501909.07	4.236	4.249
1474501939.32	4.236	4.249
1474501969.61	4.235	4.249
1474501999.92	4.236	4.25
1474502030.18	4.234	4.249
1474502060.57	4.236	4.25
1474502090.83	4.236	4.249
1474502121.11	4.236	4.249
1474502151.39	4.236	4.249
1474502181.65	4.236	4.249
1474502211.93	4.236	4.25
1474502242.33	4.236	4.249
1474502272.54	4.236	4.249
1474502302.86	4.237	4.25
1474502333.14	4.235	4.249
1474502363.55	4.237	4.25
1474502393.88	4.236	4.248
1474502424.15	4.236	4.248
1474502454.59	4.237	4.249
1474502484.84	4.236	4.249
1474502515.13	4.236	4.249
1474502545.41	4.234	4.248
1474502575.81	4.236	4.249
1474502606.09	4.235	4.249
1474502636.34	4.237	4.249
1474502666.56	4.237	4.249
1474502696.84	4.235	4.25
1474502727.12	4.236	4.249
1474502757.43	4.235	4.249
1474502787.69	4.237	4.248
1474502818.12	4.236	4.248
1474502848.43	4.235	4.249
1474502878.69	4.236	4.249
1474502908.96	4.235	4.249
1474502939.21	4.236	4.249
1474502969.52	4.235	4.249
1474502999.73	4.237	4.249
1474503030.09	4.237	4.248
1474503060.39	4.236	4.249
1474503090.66	4.237	4.249
1474503120.95	4.236	4.249
1474503151.17	4.237	4.249
1474503181.45	4.236	4.249
1474503211.67	4.236	4.248
1474503242.08	4.236	4.25
1474503272.39	4.237	4.25
1474503302.67	4.237	4.249
1474503333.03	4.235	4.249
1474503363.37	4.236	4.249
1474503393.65	4.235	4.249
1474503424.07	4.236	4.249
1474503454.39	4.236	4.249
1474503484.86	4.236	4.249
1474503515.14	4.236	4.248
1474503545.45	4.236	4.25
1474503575.71	4.235	4.249
1474503606.1	4.236	4.249
1474503636.36	4.235	4.249
1474503666.62	4.235	4.249
1474503696.87	4.237	4.25
1474503727.12	4.236	4.25
1474503757.4	4.235	4.25
1474503787.72	4.236	4.249
1474503817.97	4.237	4.248
1474503848.34	4.236	4.249
1474503878.59	4.236	4.249
1474503908.84	4.236	4.249
1474503939.16	4.236	4.249
1474503969.44	4.237	4.249
1474503999.9	4.236	4.25
1474504030.37	4.236	4.249
1474504060.66	4.236	4.248
1474504090.93	4.236	4.249
1474504121.22	4.236	4.249
1474504151.48	4.236	4.248
1474504181.91	4.236	4.25
1474504212.38	4.236	4.248
1474504242.67	4.237	4.249
1474504272.94	4.236	4.249
1474504303.37	4.236	4.249
1474504333.67	4.236	4.249
1474504363.98	4.236	4.25
1474504394.23	4.236	4.248
1474504424.48	4.236	4.25
1474504454.8	4.237	4.249
1474504485.0	4.236	4.248
1474504515.3	4.236	4.249
1474504545.67	4.236	4.249
1474504575.95	4.236	4.249
1474504606.31	4.236	4.249
1474504636.52	4.236	4.249
1474504666.89	4.235	4.25
1474504697.14	4.236	4.248
1474504727.42	4.236	4.249
1474504757.66	4.236	4.249
1474504787.92	4.236	4.249
1474504818.16	4.234	4.248
1474504848.43	4.236	4.249
1474504878.86	4.235	4.249
1474504909.18	4.235	4.249
1474504939.49	4.236	4.249
1474504969.71	4.236	4.249
1474505000.17	4.236	4.249
1474505030.67	4.235	4.249
1474505061.0	4.236	4.25
1474505091.22	4.237	4.249
1474505121.51	4.237	4.25
1474505151.75	4.237	4.248
1474505182.0	4.237	4.249
1474505212.4	4.235	4.249
1474505242.66	4.236	4.25
1474505272.9	4.236	4.25
1474505303.2	4.236	4.25
1474505333.43	4.236	4.25
1474505363.67	4.236	4.249
1474505393.91	4.236	4.249
1474505424.16	4.236	4.248
1474505454.42	4.235	4.249
1474505484.66	4.236	4.248
1474505514.91	4.235	4.249
1474505545.17	4.235	4.248
1474505575.39	4.236	4.25
1474505605.67	4.235	4.249
1474505635.88	4.236	4.249
1474505666.2	4.235	4.249
1474505696.49	4.235	4.249
1474505726.95	4.234	4.25
1474505757.45	4.235	4.248
1474505787.92	4.235	4.249
1474505818.21	4.235	4.249
1474505848.48	4.235	4.25
1474505878.74	4.236	4.25
1474505909.09	4.237	4.249
1474505939.39	4.236	4.249
1474505969.68	4.237	4.249
1474505999.97	4.237	4.249
1474506030.24	4.237	4.248
1474506060.53	4.236	4.249
1474506090.92	4.236	4.25
1474506121.14	4.236	4.249
1474506151.46	4.236	4.248
1474506181.95	4.234	4.249
1474506212.42	4.237	4.249
1474506242.68	4.236	4.249
1474506272.96	4.235	4.249
1474506303.28	4.235	4.249
1474506333.72	4.236	4.249
1474506363.95	4.236	4.249
1474506394.22	4.236	4.25
1474506424.51	4.235	4.249
1474506454.91	4.236	4.249
1474506485.2	4.236	4.248
1474506515.44	4.236	4.249
1474506545.72	4.235	4.249
1474506576.02	4.236	4.248
1474506606.29	4.236	4.25
1474506636.6	4.236	4.249
1474506666.8	4.236	4.249
1474506697.18	4.234	4.248
1474506727.41	4.235	4.248
1474506757.72	4.236	4.249
1474506787.96	4.236	4.249
1474506818.23	4.236	4.249
1474506848.52	4.235	4.249
1474506878.91	4.236	4.249
1474506909.21	4.236	4.248
1474506939.45	4.236	4.25
1474506969.7	4.236	4.249
1474506999.96	4.236	4.249
1474507030.21	4.235	4.249
1474507060.49	4.235	4.249
1474507090.72	4.235	4.249
1474507120.98	4.236	4.249
1474507151.28	4.236	4.249
1474507181.62	4.234	4.25
1474507211.83	4.236	4.249
1474507242.2	4.235	4.248
1474507272.46	4.235	4.248
1474507302.67	4.235	4.249
1474507332.96	4.236	4.249
1474507363.25	4.236	4.249
1474507393.71	4.236	4.249
1474507424.0	4.237	4.249
1474507454.28	4.236	4.25
1474507484.75	4.235	4.249
1474507515.03	4.236	4.249
1474507545.31	4.236	4.249
1474507575.53	4.235	4.249
1474507605.82	4.237	4.249
1474507636.06	4.236	4.249
1474507666.32	4.236	4.249
1474507696.56	4.236	4.249
1474507726.88	4.236	4.249
1474507757.1	4.235	4.249
1474507787.47	4.236	4.248
1474507817.73	4.236	4.249
1474507847.98	4.236	4.249
1474507878.26	4.235	4.248
1474507908.57	4.236	4.25
1474507938.94	4.236	4.249
1474507969.22	4.236	4.249
1474507999.48	4.236	4.249
1474508029.69	4.237	4.248
1474508059.98	4.235	4.249
